"DATE","TIME PERIOD","HICP - Overall index"" (ICP.M.EE.N.000000.4.ANR)"
"2017-03-31","2017Mar","3.0"
"2017-04-30","2017Apr","3.6"
"2017-05-31","2017May","3.5"
"2017-06-30","2017Jun","3.1"
"2017-07-31","2017Jul","3.9"
"2017-08-31","2017Aug","4.2"
"2017-09-30","2017Sep","3.9"
"2017-10-31","2017Oct","4.0"
"2017-11-30","2017Nov","4.5"
"2017-12-31","2017Dec","3.8"
"2018-01-31","2018Jan","3.6"
"2018-02-28","2018Feb","3.2"
"2018-03-31","2018Mar","2.9"
"2018-04-30","2018Apr","2.9"
"2018-05-31","2018May","3.1"
"2018-06-30","2018Jun","3.9"
"2018-07-31","2018Jul","3.3"
"2018-08-31","2018Aug","3.5"
"2018-09-30","2018Sep","3.5"
"2018-10-31","2018Oct","4.5"
"2018-11-30","2018Nov","3.2"
"2018-12-31","2018Dec","3.3"
"2019-01-31","2019Jan","2.8"
"2019-02-28","2019Feb","1.9"
"2019-03-31","2019Mar","2.2"
"2019-04-30","2019Apr","3.2"
"2019-05-31","2019May","3.1"
"2019-06-30","2019Jun","2.6"
"2019-07-31","2019Jul","2.0"
"2019-08-31","2019Aug","2.1"
"2019-09-30","2019Sep","2.2"
"2019-10-31","2019Oct","1.4"
"2019-11-30","2019Nov","1.8"
"2019-12-31","2019Dec","1.8"
"2020-01-31","2020Jan","1.6"
"2020-02-29","2020Feb","2.0"
"2020-03-31","2020Mar","1.0"
"2020-04-30","2020Apr","-0.9"
"2020-05-31","2020May","-1.8"
"2020-06-30","2020Jun","-1.6"
"2020-07-31","2020Jul","-1.3"
"2020-08-31","2020Aug","-1.3"
"2020-09-30","2020Sep","-1.3"
"2020-10-31","2020Oct","-1.7"
"2020-11-30","2020Nov","-1.2"
"2020-12-31","2020Dec","-0.9"
"2021-01-31","2021Jan","0.3"
"2021-02-28","2021Feb","0.5"
"2021-03-31","2021Mar","0.9"
"2021-04-30","2021Apr","1.6"
"2021-05-31","2021May","3.2"
"2021-06-30","2021Jun","3.7"
"2021-07-31","2021Jul","4.9"
"2021-08-31","2021Aug","5.0"
"2021-09-30","2021Sep","6.4"
"2021-10-31","2021Oct","6.8"
"2021-11-30","2021Nov","8.6"
"2021-12-31","2021Dec","12.0"
"2022-01-31","2022Jan","11.0"
"2022-02-28","2022Feb","11.6"
"2022-03-31","2022Mar","14.8"
"2022-04-30","2022Apr","19.1"
"2022-05-31","2022May","20.1"
"2022-06-30","2022Jun","22.0"
"2022-07-31","2022Jul","23.2"
"2022-08-31","2022Aug","25.2"
"2022-09-30","2022Sep","24.1"
"2022-10-31","2022Oct","22.5"
"2022-11-30","2022Nov","21.4"
"2022-12-31","2022Dec","17.5"
"2023-01-31","2023Jan","18.6"
"2023-02-28","2023Feb","17.8"
"2023-03-31","2023Mar","15.6"
"2023-04-30","2023Apr","13.2"
"2023-05-31","2023May","11.2"
"2023-06-30","2023Jun","9.0"
"2023-07-31","2023Jul","6.2"
"2023-08-31","2023Aug","4.3"
"2023-09-30","2023Sep","3.9"
"2023-10-31","2023Oct","5.0"
"2023-11-30","2023Nov","4.1"
"2023-12-31","2023Dec","4.3"
"2024-01-31","2024Jan","5.0"
"2024-02-29","2024Feb","4.4"
"2024-03-31","2024Mar","4.1"
"2024-04-30","2024Apr","3.1"
"2024-05-31","2024May","3.1"
"2024-06-30","2024Jun","2.8"
"2024-07-31","2024Jul","3.5"
"2024-08-31","2024Aug","3.4"
"2024-09-30","2024Sep","3.2"
"2024-10-31","2024Oct","4.5"
"2024-11-30","2024Nov","3.8"
"2024-12-31","2024Dec","4.1"
"2025-01-31","2025Jan","3.8"
"2025-02-28","2025Feb","5.0"
